SIL_source,ISTD,MW,ug/mL,uM,In solution x500 diluted,For plasma dilution correction x9,concentration_factor,SIL_name
UltimateSPLASH,SIL_14:1 cholesteryl-d7 ester,601.5815,25,41.56,0.083,0.75,0.75,SIL_14:1 cholesteryl-d7 ester
UltimateSPLASH,SIL_16:1 cholesteryl-d7 ester,629.6128,50,79.41,0.159,1.43,1.43,SIL_16:1 cholesteryl-d7 ester
UltimateSPLASH,SIL_18:1 cholesteryl-d7 ester,657.6441,75,114.04,0.228,2.05,2.05,SIL_18:1 cholesteryl-d7 ester
UltimateSPLASH,SIL_20:3 cholesteryl-d7 ester,681.6441,50,73.35,0.147,1.32,1.32,SIL_20:3 cholesteryl-d7 ester
UltimateSPLASH,SIL_22:4 cholesteryl-d7 ester,707.6598,25,35.33,0.071,0.64,0.64,SIL_22:4 cholesteryl-d7 ester
SphingoSPLASH,SIL_C15 Ceramide-d7 (d18:1-d7/15:0),530.917,5.31,10,0.02,0.18,0.18,SIL_C15 Ceramide-d7 (d18:1-d7/15:0)
UltimateSPLASH,SIL_C16:1 Ceramide-d7 (d18:1-d7/16:1),542.5404,75,138.24,0.276,2.49,2.49,SIL_C16:1 Ceramide-d7 (d18:1-d7/16:1)
UltimateSPLASH,SIL_C18:1 Ceramide-d7 (d18:1-d7/18:1),570.5717,50,87.63,0.175,1.58,1.58,SIL_C18:1 Ceramide-d7 (d18:1-d7/18:1)
UltimateSPLASH,SIL_C20:1 Ceramide-d7 (d18:1-d7/20:1),598.603,25,41.76,0.084,0.75,0.75,SIL_C20:1 Ceramide-d7 (d18:1-d7/20:1)
UltimateSPLASH,SIL_C22:1 Ceramide-d7 (d18:1-d7/22:1),626.6343,50,79.79,0.16,1.44,1.44,SIL_C22:1 Ceramide-d7 (d18:1-d7/22:1)
UltimateSPLASH,SIL_C24:1 Ceramide-d7 (d18:1-d7/24:1),654.6656,75,114.56,0.229,2.06,2.06,SIL_C24:1 Ceramide-d7 (d18:1-d7/24:1)
UltimateSPLASH,SIL_17:0-14:1 DG-d5,557.5068,25,44.84,0.09,0.81,0.81,SIL_17:0-14:1 DG-d5
UltimateSPLASH,SIL_17:0-16:1 DG-d5,585.5381,50,85.39,0.171,1.54,1.54,SIL_17:0-16:1 DG-d5
UltimateSPLASH,SIL_17:0-18:1 DG-d5,613.5694,75,122.24,0.244,2.2,2.2,SIL_17:0-18:1 DG-d5
UltimateSPLASH,SIL_17:0-20:3 DG-d5,637.5694,50,78.42,0.157,1.41,1.41,SIL_17:0-20:3 DG-d5
UltimateSPLASH,SIL_17:0-22:4 DG-d5,663.585,25,37.67,0.075,0.68,0.68,SIL_17:0-22:4 DG-d5
SphingoSPLASH,SIL_C13 Dihydroceramide-d7 (d18:0-D7/13:0),504.892,5.05,10,0.02,0.18,0.18,SIL_C13 Dihydroceramide-d7 (d18:0-D7/13:0)
Cayman Chemical,SIL_Stearic Acid-d4,288.5,0.25,0.87,0.002,0.02,0.02,SIL_Stearic Acid-d4
Cayman Chemical,SIL_Oleic Acid-d9,291.517,0.25,0.86,0.002,0.02,0.02,SIL_Oleic Acid-d9
Cayman Chemical,SIL_Linoleic Acid-d11,291.5,0.25,0.86,0.002,0.02,0.02,SIL_Linoleic Acid-d11
Cayman Chemical,SIL_Arachidonic Acid-d5,309.5,0.25,0.81,0.002,0.01,0.01,SIL_Arachidonic Acid-d5
Cayman Chemical,SIL_Palmitic Acid-d5,261.5,0.25,0.96,0.002,0.02,0.02,SIL_Palmitic Acid-d5
SphingoSPLASH,SIL_C15 Glucosyl(β) Ceramide-D7 (d18:1-D7/15:0),693.071,6.93,10,0.02,0.18,0.18,SIL_C15 Glucosyl(β) Ceramide-D7 (d18:1-D7/15:0)
SphingoSPLASH,SIL_C15 Lactosyl(β) Ceramide-D7 (d18:1-D7/15:0),855.212,8.55,10,0.02,0.18,0.18,SIL_C15 Lactosyl(β) Ceramide-D7 (d18:1-D7/15:0)
UltimateSPLASH,SIL_15:0 Lyso PC-d5,486.3482,25,51.4,0.103,0.93,0.93,SIL_15:0 Lyso PC-d5
UltimateSPLASH,SIL_17:0 Lyso PC-d5,514.3795,50,97.2,0.194,1.75,1.75,SIL_17:0 Lyso PC-d5
UltimateSPLASH,SIL_19:0 Lyso PC-d5,542.4108,25,46.09,0.092,0.83,0.83,SIL_19:0 Lyso PC-d5
UltimateSPLASH,SIL_15:0 Lyso PE-d5,444.3013,25,56.27,0.113,1.01,1.01,SIL_15:0 Lyso PE-d5
UltimateSPLASH,SIL_17:0 Lyso PE-d5,472.3326,50,105.86,0.212,1.91,1.91,SIL_17:0 Lyso PE-d5
UltimateSPLASH,SIL_19:0 Lyso PE-d5,500.3639,25,49.96,0.1,0.9,0.9,SIL_19:0 Lyso PE-d5
UltimateSPLASH,SIL_15:0 Lyso PG-d5,497.32778,25,50.27,0.101,0.9,0.9,SIL_15:0 Lyso PG-d5
UltimateSPLASH,SIL_17:0 Lyso PG-d5,525.3094,50,95.18,0.19,1.71,1.71,SIL_17:0 Lyso PG-d5
UltimateSPLASH,SIL_19:0 Lyso PG-d5,553.3404,25,45.18,0.09,0.81,0.81,SIL_19:0 Lyso PG-d5
UltimateSPLASH,SIL_15:0 Lyso PI-d5,580.3384,25,43.08,0.086,0.78,0.78,SIL_15:0 Lyso PI-d5
UltimateSPLASH,SIL_17:0 Lyso PI-d5,608.3697,50,82.19,0.164,1.48,1.48,SIL_17:0 Lyso PI-d5
UltimateSPLASH,SIL_19:0 Lyso PI-d5,636.401,25,39.28,0.079,0.71,0.71,SIL_19:0 Lyso PI-d5
UltimateSPLASH,SIL_15:0 Lyso PS-d5,510.273,25,48.99,0.098,0.88,0.88,SIL_15:0 Lyso PS-d5
UltimateSPLASH,SIL_17:0 Lyso PS-d5,538.3043,50,92.88,0.186,1.67,1.67,SIL_17:0 Lyso PS-d5
UltimateSPLASH,SIL_19:0 Lyso PS-d5,566.3356,25,44.14,0.088,0.79,0.79,SIL_19:0 Lyso PS-d5
Avanti,SIL_18:1-d7 MG,363.583,0.5,1.38,0.003,0.02,0.01,SIL_18:1-d7 MG
UltimateSPLASH,SIL_17:0-16:1 PC-d5,750.5935,100,133.23,0.266,2.4,2.4,SIL_17:0-16:1 PC-d5
UltimateSPLASH,SIL_17:0-18:1 PC-d5,778.6248,150,192.65,0.385,3.47,3.47,SIL_17:0-18:1 PC-d5
UltimateSPLASH,SIL_17:0-20:3 PC-d5,802.6248,100,124.59,0.249,2.24,2.24,SIL_17:0-20:3 PC-d5
UltimateSPLASH,SIL_17:0-22:4 PC-d5,828.6405,50,60.34,0.121,1.09,1.09,SIL_17:0-22:4 PC-d5
UltimateSPLASH,SIL_17:0-14:1 PE-d5,680.5153,25,36.74,0.073,0.66,0.66,SIL_17:0-14:1 PE-d5
UltimateSPLASH,SIL_17:0-16:1 PE-d5,708.5466,50,70.57,0.141,1.27,1.27,SIL_17:0-16:1 PE-d5
UltimateSPLASH,SIL_17:0-18:1 PE-d5,736.5779,75,101.82,0.204,1.83,1.83,SIL_17:0-18:1 PE-d5
UltimateSPLASH,SIL_17:0-20:3 PE-d5,760.5779,50,65.74,0.131,1.18,1.18,SIL_17:0-20:3 PE-d5
UltimateSPLASH,SIL_17:0-22:4 PE-d5,786.5935,25,31.78,0.064,0.57,0.57,SIL_17:0-22:4 PE-d5
UltimateSPLASH,SIL_17:0-14:1 PG-d5,733.4918,25,34.08,0.068,0.61,0.61,SIL_17:0-14:1 PG-d5
UltimateSPLASH,SIL_17:0-16:1 PG-d5,761.5231,50,65.66,0.131,1.18,1.18,SIL_17:0-16:1 PG-d5
UltimateSPLASH,SIL_17:0-18:1 PG-d5,789.5544,75,94.99,0.19,1.71,1.71,SIL_17:0-18:1 PG-d5
UltimateSPLASH,SIL_17:0-20:3 PG-d5,813.5544,50,61.46,0.123,1.11,1.11,SIL_17:0-20:3 PG-d5
UltimateSPLASH,SIL_17:0-22:4 PG-d5,839.5701,25,29.78,0.06,0.54,0.54,SIL_17:0-22:4 PG-d5
UltimateSPLASH,SIL_17:0-14:1 PI-d5,816.5525,25,30.62,0.061,0.55,0.55,SIL_17:0-14:1 PI-d5
UltimateSPLASH,SIL_17:0-16:1 PI-d5,844.5838,50,59.2,0.118,1.07,1.07,SIL_17:0-16:1 PI-d5
UltimateSPLASH,SIL_17:0-18:1 PI-d5,872.6151,75,85.95,0.172,1.55,1.55,SIL_17:0-18:1 PI-d5
UltimateSPLASH,SIL_17:0-20:3 PI-d5,896.6151,50,55.77,0.112,1,1,SIL_17:0-20:3 PI-d5
UltimateSPLASH,SIL_17:0-22:4 PI-d5,922.6307,25,27.1,0.054,0.49,0.49,SIL_17:0-22:4 PI-d5
UltimateSPLASH,SIL_17:0-14:1 PS-d5,746.4871,25,33.49,0.067,0.6,0.6,SIL_17:0-14:1 PS-d5
UltimateSPLASH,SIL_17:0-16:1 PS-d5,774.5184,50,64.56,0.129,1.16,1.16,SIL_17:0-16:1 PS-d5
UltimateSPLASH,SIL_17:0-18:1 PS-d5,802.5497,75,93.45,0.187,1.68,1.68,SIL_17:0-18:1 PS-d5
UltimateSPLASH,SIL_17:0-20:3 PS-d5,826.5497,50,60.49,0.121,1.09,1.09,SIL_17:0-20:3 PS-d5
UltimateSPLASH,SIL_17:0-22:4 PS-d5,852.5653,25,29.32,0.059,0.53,0.53,SIL_17:0-22:4 PS-d5
SphingoSPLASH,SIL_15:0 SM (d18:1/15:0)-D9,698.071,6.98,10,0.02,0.18,0.18,SIL_15:0 SM (d18:1/15:0)-D9
UltimateSPLASH,SIL_16:1 SM (d18:1/16:1)-d9,709.6084,75,105.69,0.211,1.9,1.9,SIL_16:1 SM (d18:1/16:1)-d9
UltimateSPLASH,SIL_18:1 SM (d18:1/18:1)-d9,737.6397,50,67.78,0.136,1.22,1.22,SIL_18:1 SM (d18:1/18:1)-d9
UltimateSPLASH,SIL_20:1 SM (d18:1/20:1)-d9,765.671,25,32.65,0.065,0.59,0.59,SIL_20:1 SM (d18:1/20:1)-d9
UltimateSPLASH,SIL_22:1 SM (d18:1/22:1)-d9,793.7023,50,63,0.126,1.13,1.13,SIL_22:1 SM (d18:1/22:1)-d9
UltimateSPLASH,SIL_24:1 SM (d18:1/24:1)-d9,821.7336,75,91.27,0.183,1.64,1.64,SIL_24:1 SM (d18:1/24:1)-d9
UltimateSPLASH,SIL_14:0-13:0-14:0 TG-d5,713.6582,25,35.03,0.07,0.63,0.63,SIL_14:0-13:0-14:0 TG-d5
UltimateSPLASH,SIL_14:0-15:1-14:0 TG-d5,739.6738,50,67.6,0.135,1.22,1.22,SIL_14:0-15:1-14:0 TG-d5
UltimateSPLASH,SIL_14:0-17:1-14:0 TG-d5,767.7051,75,97.69,0.195,1.76,1.76,SIL_14:0-17:1-14:0 TG-d5
UltimateSPLASH,SIL_16:0-15:1-16:0 TG-d5,795.7364,100,125.67,0.251,2.26,2.26,SIL_16:0-15:1-16:0 TG-d5
UltimateSPLASH,SIL_16:0-17:1-16:0 TG-d5,823.7677,125,151.74,0.303,2.73,2.73,SIL_16:0-17:1-16:0 TG-d5
UltimateSPLASH,SIL_16:0-19:2-16:0 TG-d5,849.7834,100,117.68,0.235,2.12,2.12,SIL_16:0-19:2-16:0 TG-d5
UltimateSPLASH,SIL_18:1-17:1-18:1 TG-d5,875.799,75,85.64,0.171,1.54,1.54,SIL_18:1-17:1-18:1 TG-d5
UltimateSPLASH,SIL_18:1-19:2-18:1 TG-d5,901.8147,50,55.44,0.111,1,1,SIL_18:1-19:2-18:1 TG-d5
UltimateSPLASH,SIL_18:1-21:2-18:1 TG-d5,929.846,25,26.89,0.054,0.48,0.48,SIL_18:1-21:2-18:1 TG-d5
Avanti,SIL_17:1 Lyso PS_Individual,531.552,25,47.03,0.019,0.17,0.12,SIL_17:1 Lyso PS_Individual
